raceId,driverId,grid,positionOrder,pit_sec,pos_change,lap,year,pit_group
847,17,4.0,3,22.402,1.0,36,2011,mid
847,17,4.0,3,22.77,1.0,50,2011,late
847,30,8.0,4,24.472,4.0,18,2011,early
847,30,8.0,4,24.196,4.0,21,2011,mid
847,30,8.0,4,22.832,4.0,34,2011,mid
847,30,8.0,4,22.869,4.0,52,2011,late
847,808,10.0,5,23.816,5.0,36,2011,mid
847,808,10.0,5,24.145,5.0,53,2011,late
847,13,3.0,6,24.886,-3.0,21,2011,mid
847,13,3.0,6,22.742,-3.0,36,2011,mid
847,13,3.0,6,22.56,-3.0,52,2011,late
847,13,3.0,6,28.346,-3.0,53,2011,late
847,155,13.0,7,23.687,6.0,36,2011,mid
847,155,13.0,7,24.618,6.0,53,2011,late
847,153,24.0,8,26.045,16.0,19,2011,early
847,153,24.0,8,24.863,16.0,35,2011,mid
847,153,24.0,8,23.338,16.0,51,2011,late
847,22,16.0,9,23.305,7.0,15,2011,early
847,22,16.0,9,25.066,7.0,19,2011,early
847,22,16.0,9,24.684,7.0,34,2011,mid
847,22,16.0,9,23.059,7.0,50,2011,late
847,67,15.0,10,23.949,5.0,17,2011,early
847,67,15.0,10,24.649,5.0,20,2011,early
847,67,15.0,10,23.97,5.0,34,2011,mid
847,67,15.0,10,26.561,5.0,50,2011,late
847,3,6.0,11,23.105,-5.0,17,2011,early
847,3,6.0,11,22.986,-5.0,19,2011,early
847,3,6.0,11,22.735,-5.0,36,2011,mid
847,3,6.0,11,22.702,-5.0,53,2011,late
847,37,17.0,12,30.288,5.0,35,2011,mid
847,37,17.0,12,24.039,5.0,52,2011,late
847,24,20.0,13,27.202,7.0,9,2011,early
847,24,20.0,13,34.897,7.0,35,2011,mid
847,24,20.0,13,33.278,7.0,52,2011,late
847,39,22.0,14,29.115,8.0,37,2011,mid
847,39,22.0,14,29.54,8.0,51,2011,late
847,816,23.0,15,24.143,8.0,17,2011,early
847,816,23.0,15,30.497,8.0,23,2011,mid
847,816,23.0,15,24.655,8.0,33,2011,mid
847,816,23.0,15,14.538,8.0,36,2011,mid
847,816,23.0,15,30.714,8.0,52,2011,late
847,10,21.0,16,24.425,5.0,34,2011,mid
847,10,21.0,16,25.079,5.0,51,2011,late
847,15,18.0,17,51.684,1.0,19,2011,early
847,15,18.0,17,23.332,1.0,36,2011,mid
847,15,18.0,17,25.14,1.0,52,2011,late
847,814,11.0,18,22.479,-7.0,35,2011,mid
847,814,11.0,18,28.63,-7.0,43,2011,late
847,814,11.0,18,14.538,-7.0,50,2011,late
847,814,11.0,18,23.129,-7.0,53,2011,late
847,813,12.0,19,23.571,-7.0,17,2011,early
847,813,12.0,19,24.943,-7.0,19,2011,early
847,813,12.0,19,23.593,-7.0,35,2011,mid
847,813,12.0,19,23.7,-7.0,51,2011,late
847,813,12.0,19,31.701,-7.0,61,2011,late
847,2,9.0,20,23.113,-11.0,35,2011,mid
847,2,9.0,20,23.364,-11.0,52,2011,late
847,16,14.0,21,24.052,-7.0,16,2011,early
847,16,14.0,21,22.923,-7.0,34,2011,mid
847,16,14.0,21,14.565,-7.0,45,2011,late
847,16,14.0,21,32.449,-7.0,49,2011,late
847,4,2.0,22,23.893,-20.0,17,2011,early
847,4,2.0,22,26.348,-20.0,19,2011,early
847,4,2.0,22,26.129,-20.0,36,2011,mid
847,5,19.0,23,44.037,-4.0,19,2011,early
848,20,1.0,1,21.006,0.0,14,2011,early
848,20,1.0,1,20.441,0.0,30,2011,mid
848,20,1.0,1,20.331,0.0,47,2011,late
848,4,4.0,2,21.477,2.0,14,2011,early
848,4,4.0,2,20.551,2.0,29,2011,mid
848,4,4.0,2,20.136,2.0,45,2011,late
848,17,2.0,3,20.465,-1.0,13,2011,early
848,17,2.0,3,20.319,-1.0,28,2011,mid
848,17,2.0,3,20.367,-1.0,42,2011,late
848,1,3.0,4,20.34,-1.0,12,2011,early
848,1,3.0,4,21.035,-1.0,24,2011,mid
848,1,3.0,4,20.212,-1.0,42,2011,late
848,13,5.0,5,20.718,0.0,15,2011,early
848,13,5.0,5,25.537,0.0,31,2011,mid
848,13,5.0,5,20.404,0.0,48,2011,late
848,18,6.0,6,20.997,0.0,14,2011,early
848,18,6.0,6,20.325,0.0,30,2011,mid
848,18,6.0,6,20.479,0.0,48,2011,late
848,3,7.0,7,21.054,0.0,12,2011,early
848,3,7.0,7,23.547,0.0,30,2011,mid
848,3,7.0,7,20.896,0.0,45,2011,late
848,153,18.0,8,21.391,10.0,19,2011,early
848,153,18.0,8,21.103,10.0,42,2011,late
848,16,10.0,9,20.676,1.0,12,2011,early
848,16,10.0,9,20.286,1.0,28,2011,mid
848,16,10.0,9,21.036,1.0,43,2011,late
848,2,9.0,10,22.114,-1.0,11,2011,early
848,2,9.0,10,22.285,-1.0,27,2011,mid
848,2,9.0,10,21.472,-1.0,40,2011,mid
848,815,16.0,11,21.939,5.0,25,2011,mid
848,22,13.0,12,21.163,1.0,11,2011,early
848,22,13.0,12,21.262,1.0,28,2011,mid
848,22,13.0,12,21.286,1.0,40,2011,mid
848,67,17.0,13,21.321,4.0,14,2011,early
848,67,17.0,13,20.46,4.0,26,2011,mid
848,67,17.0,13,20.995,4.0,45,2011,late
848,814,12.0,14,20.567,-2.0,14,2011,early
848,814,12.0,14,20.818,-2.0,27,2011,mid
848,814,12.0,14,21.069,-2.0,44,2011,late
848,808,11.0,15,22.104,-4.0,15,2011,early
848,808,11.0,15,21.168,-4.0,27,2011,mid
848,808,11.0,15,21.105,-4.0,39,2011,mid
848,155,14.0,16,23.492,-2.0,11,2011,early
848,155,14.0,16,20.545,-2.0,33,2011,mid
